swap_id,source_name,target_name,swap_file,source_file,target_file,similarity,fooled_045,fooled_060
0,Queen_Latifah,Carlos_Moya,swap_Queen_Latifah_0001_in_Carlos_Moya_0009.jpg,Queen_Latifah_0001.jpg,Carlos_Moya_0009.jpg,0.754588,1,1
1,GL_Peiris,Ethan_Hawke,swap_GL_Peiris_0002_in_Ethan_Hawke_0001.jpg,GL_Peiris_0002.jpg,Ethan_Hawke_0001.jpg,0.755784,1,1
2,Robert_Horan,Steve_Waugh,swap_Robert_Horan_0001_in_Steve_Waugh_0002.jpg,Robert_Horan_0001.jpg,Steve_Waugh_0002.jpg,0.043786,0,0
3,Amanda_Beard,Allyson_Felix,swap_Amanda_Beard_0001_in_Allyson_Felix_0002.jpg,Amanda_Beard_0001.jpg,Allyson_Felix_0002.jpg,0.807401,1,1
4,Filippo_Inzaghi,Marissa_Jaret_Winokur,swap_Filippo_Inzaghi_0003_in_Marissa_Jaret_Winokur_0001.jpg,Filippo_Inzaghi_0003.jpg,Marissa_Jaret_Winokur_0001.jpg,0.759940,1,1
5,Mohamed_Benaissa,Eddy_Merckx,swap_Mohamed_Benaissa_0002_in_Eddy_Merckx_0001.jpg,Mohamed_Benaissa_0002.jpg,Eddy_Merckx_0001.jpg,0.792900,1,1
6,Lana_Clarkson,Norodom_Sihanouk,swap_Lana_Clarkson_0002_in_Norodom_Sihanouk_0001.jpg,Lana_Clarkson_0002.jpg,Norodom_Sihanouk_0001.jpg,0.734185,1,1
7,Thomas_OBrien,William_Martin,swap_Thomas_OBrien_0003_in_William_Martin_0002.jpg,Thomas_OBrien_0003.jpg,William_Martin_0002.jpg,0.840945,1,1
8,Jay_Leno,Guillaume_Soro,swap_Jay_Leno_0001_in_Guillaume_Soro_0001.jpg,Jay_Leno_0001.jpg,Guillaume_Soro_0001.jpg,0.782672,1,1
9,Tim_Floyd,Jason_Alexander,swap_Tim_Floyd_0001_in_Jason_Alexander_0001.jpg,Tim_Floyd_0001.jpg,Jason_Alexander_0001.jpg,0.759135,1,1
10,John_Howard,Brian_Griese,swap_John_Howard_0012_in_Brian_Griese_0002.jpg,John_Howard_0012.jpg,Brian_Griese_0002.jpg,0.776024,1,1
11,Patrick_Leahy,Gianna_Angelopoulos-Daskalaki,swap_Patrick_Leahy_0001_in_Gianna_Angelopoulos-Daskalaki_0003.jpg,Patrick_Leahy_0001.jpg,Gianna_Angelopoulos-Daskalaki_0003.jpg,0.678424,1,1
12,LeAnn_Rimes,Michael_J_Sheehan,swap_LeAnn_Rimes_0001_in_Michael_J_Sheehan_0002.jpg,LeAnn_Rimes_0001.jpg,Michael_J_Sheehan_0002.jpg,0.811172,1,1
13,Bill_Frist,Mike_Montgomery,swap_Bill_Frist_0005_in_Mike_Montgomery_0002.jpg,Bill_Frist_0005.jpg,Mike_Montgomery_0002.jpg,0.803652,1,1
14,Natalie_Maines,Donatella_Versace,swap_Natalie_Maines_0001_in_Donatella_Versace_0001.jpg,Natalie_Maines_0001.jpg,Donatella_Versace_0001.jpg,0.760629,1,1
15,Rick_Carlisle,Faye_Dunaway,swap_Rick_Carlisle_0003_in_Faye_Dunaway_0001.jpg,Rick_Carlisle_0003.jpg,Faye_Dunaway_0001.jpg,0.725443,1,1
16,Filippo_Inzaghi,Brooke_Shields,swap_Filippo_Inzaghi_0002_in_Brooke_Shields_0002.jpg,Filippo_Inzaghi_0002.jpg,Brooke_Shields_0002.jpg,0.746411,1,1
17,Larry_Lucchino,Princess_Caroline,swap_Larry_Lucchino_0002_in_Princess_Caroline_0002.jpg,Larry_Lucchino_0002.jpg,Princess_Caroline_0002.jpg,0.776125,1,1
18,Jodie_Foster,Jennifer_Rodriguez,swap_Jodie_Foster_0001_in_Jennifer_Rodriguez_0002.jpg,Jodie_Foster_0001.jpg,Jennifer_Rodriguez_0002.jpg,0.774071,1,1
19,Sally_Field,Robinson_Stevenin,swap_Sally_Field_0001_in_Robinson_Stevenin_0001.jpg,Sally_Field_0001.jpg,Robinson_Stevenin_0001.jpg,0.789388,1,1
20,Michael_Caine,Simon_Cowell,swap_Michael_Caine_0002_in_Simon_Cowell_0001.jpg,Michael_Caine_0002.jpg,Simon_Cowell_0001.jpg,0.713982,1,1
21,Lee_Jun,John_Garamendi,swap_Lee_Jun_0002_in_John_Garamendi_0001.jpg,Lee_Jun_0002.jpg,John_Garamendi_0001.jpg,0.595457,1,0
22,Rodrigo_Borja,James_Cunningham,swap_Rodrigo_Borja_0001_in_James_Cunningham_0001.jpg,Rodrigo_Borja_0001.jpg,James_Cunningham_0001.jpg,0.784406,1,1
23,Amanda_Beard,William_Hochul,swap_Amanda_Beard_0002_in_William_Hochul_0002.jpg,Amanda_Beard_0002.jpg,William_Hochul_0002.jpg,0.753828,1,1
24,Gloria_Allred,Barbra_Streisand,swap_Gloria_Allred_0001_in_Barbra_Streisand_0003.jpg,Gloria_Allred_0001.jpg,Barbra_Streisand_0003.jpg,0.782246,1,1
25,Sergey_Lavrov,Isabelle_Huppert,swap_Sergey_Lavrov_0004_in_Isabelle_Huppert_0002.jpg,Sergey_Lavrov_0004.jpg,Isabelle_Huppert_0002.jpg,0.813186,1,1
26,Johnny_Unitas,Ralf_Schumacher,swap_Johnny_Unitas_0002_in_Ralf_Schumacher_0003.jpg,Johnny_Unitas_0002.jpg,Ralf_Schumacher_0003.jpg,0.746901,1,1
27,Gil_de_Ferran,Christine_Gregoire,swap_Gil_de_Ferran_0002_in_Christine_Gregoire_0003.jpg,Gil_de_Ferran_0002.jpg,Christine_Gregoire_0003.jpg,0.702959,1,1
